test case,benchmark name,samples,iterations,estimated,mean,low mean,high mean,std dev,low std dev,high std dev,tags,raw
benchmark intrusive graph dependency handling with N nodes - 1,creating nodes,100,5535,2214000,4.4943,4.4796,4.5319,0.1047,0.0049,0.1943,"benchmark,group:graph-nodes","4.4817,4.4797,4.4869,4.4815,4.4797,4.4815,4.4688,4.4799,4.4815,4.4815,4.4797,4.4815,4.4815,4.4688,4.4797,4.4799,4.4797,4.4815,4.4815,4.4815,4.4688,4.4797,4.4815,4.4797,4.4815,4.4797,5.3160,4.4815,4.4688,4.4833,4.4815,4.4815,4.4833,4.4833,4.4815,4.4670,4.4833,4.4815,4.4815,4.4815,4.4815,4.4833,4.4670,4.4833,4.4833,4.4835,4.4833,4.4815,4.4815,4.4670,4.4833,4.4797,4.4835,4.4815,4.4815,4.4833,4.4670,4.4815,4.4833,4.4833,4.4815,4.4815,4.4833,4.4688,4.4815,4.4815,5.1241,4.4815,4.4815,4.4797,4.4815,4.4670,4.4797,4.4815,4.4797,4.4797,4.4817,4.4761,4.4706,4.4815,4.4797,4.4797,4.4815,4.4797,4.4724,4.4743,4.4815,4.4815,4.4815,4.4815,4.4815,4.4670,4.4797,4.4815,4.4815,4.4815,4.4797,4.4815,4.4688,4.4815"
benchmark intrusive graph dependency handling with N nodes - 1,creating and adding dependencies,100,1117,2457400,20.9417,20.7215,21.8260,1.8674,0.0876,4.3418,"benchmark,group:graph-nodes","20.7896,20.8353,20.8711,20.6822,20.5649,20.8075,20.6813,20.7905,20.6455,20.7269,20.7359,20.6553,20.7180,20.8165,20.7538,20.7359,20.6097,20.6464,20.6195,20.6553,20.8254,20.6106,20.6732,20.7180,20.7180,25.3554,20.7628,20.7180,20.6553,20.8433,20.6106,20.7717,20.6007,20.6007,20.6016,20.6106,20.5380,20.8174,20.6186,20.6822,20.6822,20.6732,20.6016,20.5748,20.5560,20.7986,20.6822,20.7807,20.7905,20.6813,20.8254,20.6553,20.6097,20.5927,20.7628,20.7269,20.7180,20.6911,20.8254,20.7717,20.7269,20.7269,20.6544,20.7180,20.8084,20.7180,20.7090,20.5291,38.9266,20.8344,20.7090,20.7090,20.8344,20.6464,20.8344,20.6553,20.7717,20.7180,20.7628,20.8263,20.7180,20.7717,20.6276,20.8344,20.7628,20.7807,20.8075,20.7449,20.8344,20.5291,20.7090,20.7180,20.7269,20.7717,20.6374,20.7269,20.6553,20.8344,20.8075,20.6822"
benchmark intrusive graph dependency handling with N nodes - 1,adding and removing dependencies,100,1577,2365500,15.5216,15.4788,15.6290,0.3018,0.0121,0.5507,"benchmark,group:graph-nodes","15.4819,15.4559,15.5067,15.4756,15.4496,15.4813,15.4819,15.4876,15.4756,15.4876,15.4496,15.4819,15.4876,15.4756,15.4813,15.4750,15.4756,15.4623,15.4819,15.4813,15.4876,15.4819,15.4876,15.4502,15.4813,15.4876,15.4883,15.4750,15.4883,17.6798,15.4496,15.4813,15.4819,15.4876,15.4819,15.4876,15.4559,15.4819,15.4876,15.4756,15.4813,15.4813,15.4876,15.4496,15.4819,15.4876,15.4813,15.4813,15.4876,15.4566,15.4876,15.4819,15.4813,15.4876,15.4756,15.4623,15.4756,15.4813,15.4813,15.4883,15.4813,15.4883,15.4559,15.4813,15.4819,15.4876,15.4756,15.4813,15.4559,15.4819,17.5840,15.4750,15.4876,15.4883,15.4876,15.4559,15.4876,15.4813,15.4819,15.4813,15.4819,15.4813,15.4496,15.4883,15.4813,15.4883,15.4750,15.4813,15.4566,15.4813,15.4883,15.4940,15.4876,15.4883,15.4496,15.4883,15.4813,15.4813,15.4750,15.4876"
benchmark intrusive graph dependency handling with N nodes - 1,checking for dependencies,100,18519,1851900,1.2134,1.2074,1.2287,0.0425,0.0004,0.0769,"benchmark,group:graph-nodes","1.2074,1.2075,1.2102,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2069,1.2069,1.2069,1.2069,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2069,1.2069,1.2069,1.2069,1.2069,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2069,1.2069,1.4974,1.2079,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2069,1.2069,1.2069,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2075,1.2074,1.2074,1.2074,1.2069,1.2069,1.2069,1.2069,1.2069,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.2074,1.5234,1.2074,1.2075,1.2074,1.2075,1.2069,1.2069,1.2074,1.2075,1.2074,1.2075"
benchmark intrusive graph dependency handling with N nodes - 10,creating nodes,100,636,2480400,39.3833,39.2203,39.7199,1.1479,0.6925,1.8003,"benchmark,group:graph-nodes","39.0016,39.0173,39.0016,39.2075,39.2374,39.2531,39.2531,39.2217,39.2390,38.8758,39.0016,39.1903,39.1289,39.0959,39.2531,39.2390,39.1274,45.4135,39.0016,39.0016,39.0173,39.0173,39.0016,39.0016,38.8758,39.0173,39.0016,39.0016,39.0173,39.0173,39.0016,38.8915,39.0016,39.0173,39.0173,39.0016,39.0173,39.0173,38.8915,39.0173,39.0173,39.0173,39.0016,39.0173,39.0173,38.8915,39.0173,39.0173,39.0330,39.0016,39.0173,39.0173,38.8915,39.0173,39.0173,39.0173,39.0016,45.8695,39.0016,39.0173,39.8538,39.9623,39.9623,39.9465,39.9465,39.9465,39.8050,38.9701,38.9387,39.8208,39.9465,39.4104,39.0330,39.0173,39.0645,39.8522,39.0802,39.7107,39.3789,39.0173,39.0173,39.0975,39.8365,39.9623,39.1761,39.6305,39.4748,39.0016,39.0173,38.9544,39.8836,39.1431,39.6792,39.4434,39.0173,39.2217,45.6824,39.0173,38.8915,39.0173"
benchmark intrusive graph dependency handling with N nodes - 10,creating and adding dependencies,100,104,2496000,232.3110,231.6427,233.9908,4.8067,0.6997,8.7132,"benchmark,group:graph-nodes","232.5385,232.3462,234.8462,232.5385,231.9615,231.3846,232.5385,230.8942,232.0577,232.3462,232.0577,231.6731,232.5385,232.1538,231.6731,232.4423,232.1442,231.4712,231.4808,266.9327,231.6731,232.0481,230.7981,232.6346,230.4231,232.2500,232.0481,231.8654,230.7115,232.8269,230.2212,231.2788,231.0000,231.9615,230.7981,232.2500,231.5769,231.9615,231.4808,231.5673,231.8558,230.9038,231.7692,230.7981,231.1923,231.8654,231.0962,232.4423,230.7019,230.9038,231.3846,232.8269,231.5673,231.1827,231.6731,231.3846,231.6731,231.0865,232.0577,231.2885,230.2212,264.2404,231.1827,231.3846,231.0000,230.9904,231.8558,230.7115,231.5769,232.4423,230.8942,230.9038,231.6731,231.7692,231.4712,231.1923,232.1538,232.0577,230.7115,230.7019,231.0962,231.3846,231.5673,232.6346,231.4808,231.0000,230.9904,231.3750,231.6731,232.5385,231.5769,231.2885,232.5288,231.9519,231.5769,231.9615,231.8654,230.7019,231.3750,232.3462"
benchmark intrusive graph dependency handling with N nodes - 10,adding and removing dependencies,100,121,2492600,191.9483,191.1074,194.0017,6.8926,3.7176,11.0938,"benchmark,group:graph-nodes","190.7603,190.7603,190.3471,190.5124,190.5868,190.5124,190.5950,190.5950,190.5124,190.5124,190.5868,232.9917,190.7603,190.8430,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,232.1570,190.8430,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.6777,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,190.7603,190.7603,190.7521,190.7521,190.7603,190.7603,190.7603,190.7603,228.0992,190.7603,190.7603"
benchmark intrusive graph dependency handling with N nodes - 10,checking for dependencies,100,1056,2428800,24.8488,24.7794,25.0128,0.5485,0.3058,0.8778,"benchmark,group:graph-nodes","24.6562,24.7699,24.8078,24.7604,28.0729,24.6373,24.7614,24.7604,24.7614,24.7708,24.7614,24.7699,24.7708,24.7708,24.7604,24.6383,24.7708,24.7604,24.7708,24.7708,24.7699,24.7708,24.7614,24.7708,24.7604,24.7424,24.6562,24.7708,24.7614,24.7604,24.7604,24.7614,24.7614,24.7699,24.7708,24.7614,24.6278,24.7708,24.7708,24.7604,24.7614,24.7708,27.9962,24.7614,24.7699,24.7708,24.7708,24.6373,24.7614,24.7614,24.7699,24.7708,24.7614,24.7699,24.7699,24.7708,24.7708,24.6941,24.6856,24.7604,24.7614,24.7708,24.7708,24.7699,24.7708,24.7614,24.7604,24.7614,24.6383,24.7699,24.7614,24.7614,24.7604,24.7708,24.7708,24.7699,24.7699,24.7614,24.6373,24.7708,27.8068,24.7614,24.7699,24.7708,24.7614,24.7604,24.7614,24.7614,24.7708,24.6373,24.7614,24.7604,24.7614,24.7614,24.7604,24.7699,24.7708,24.7708,24.7699,24.7330"
benchmark intrusive graph dependency handling with N nodes - 100,creating nodes,100,73,2511200,458.2726,441.3437,477.7756,92.8136,82.2683,103.4043,"benchmark,group:graph-nodes","602.0685,599.3288,401.6849,401.9726,394.1507,451.7808,399.2192,397.9863,397.9863,399.5068,399.6301,399.6438,396.3425,398.9452,399.6301,399.5068,397.8493,397.4384,397.3014,397.3014,398.9589,399.4932,397.7123,398.9589,399.6301,400.8767,399.7671,400.8767,399.9041,399.5068,400.8630,398.3973,397.3014,397.9863,397.1644,399.2192,397.8493,399.3562,399.6301,459.3425,401.1507,400.1781,394.2877,393.7397,401.6849,394.1507,399.7671,399.9178,399.6301,400.3288,399.6301,400.0548,401.1370,399.7808,400.3151,399.6438,399.3562,399.6438,400.1781,401.4247,400.0411,400.3288,400.1781,399.9041,399.4932,400.0548,400.3151,400.1918,400.1781,399.7671,399.7671,399.7808,399.9041,456.8767,519.0411,707.4795,597.0000,602.6164,596.0411,601.5205,601.2603,601.7945,599.6027,597.4110,603.1781,598.2329,600.9726,598.9178,603.0411,598.9178,601.5205,596.4521,601.9315,597.5342,602.9041,598.0959,687.0274,598.7808,602.2192,598.9178"
benchmark intrusive graph dependency handling with N nodes - 100,creating and adding dependencies,100,6,2564400,4191.0733,4174.4067,4229.0850,124.0196,60.6919,204.6976,"benchmark,group:graph-nodes","4170.8333,4180.8333,4252.6667,4162.6667,4159.1667,4176.0000,4184.1667,4174.1667,4192.6667,4169.1667,4159.1667,4137.5000,4156.0000,4175.8333,4962.5000,4155.8333,4167.6667,4170.8333,4177.6667,4174.3333,4144.1667,4187.6667,4174.1667,4182.6667,4181.0000,4172.5000,4176.0000,4154.1667,4177.6667,4147.5000,4166.0000,4174.1667,4182.6667,4177.6667,4155.8333,4139.1667,4186.0000,4182.6667,4185.8333,4191.0000,4187.6667,4179.3333,4170.8333,4184.3333,4176.0000,4160.8333,4169.3333,4165.8333,4161.0000,4132.5000,4162.5000,4159.3333,4149.1667,4154.1667,4755.5000,4137.5000,4150.8333,4135.8333,4164.3333,4180.8333,4174.1667,4164.3333,4174.1667,4184.3333,4162.5000,4142.5000,4194.3333,4175.8333,4194.3333,4182.6667,4170.8333,4154.3333,4140.8333,4172.5000,4189.1667,4192.6667,4179.3333,4154.1667,4167.6667,4167.5000,4157.6667,4157.5000,4169.3333,4184.1667,4167.6667,4160.8333,4199.3333,4144.3333,4174.1667,4196.0000,4192.6667,4182.6667,4182.5000,4166.0000,4932.3333,4135.8333,4154.3333,4149.1667,4167.5000,4159.3333"
